Date,Hastag Used,Debate Topic
"25th September, 2023",#CrackdownOnKhalistan,NIA begins crackdown against Khalistani
"25th September, 2023",#DontMessWithSanatan,PM attacks I.N.D.I.A alliance over Sanatan
"22nd September, 2023",#TrudeauInAMess,"Trudeau messed up, no retreating now!"
"22nd September, 2023",#NationFirstPolicy,"Stellar policy, back it!"
"22nd September, 2023",#SanatanRowInSC,No more free pass for anti-Sanatan lobby
"21st September, 2023",#HistoricWomensBill,Women's Reservation to be a reality by 2029
"20th September, 2023",#WomensBillPassed,Mega political faceoff over Women's Quota
"20th September, 2023",#WomensBillPassed,Why negative politics over landmark bill?
"20th September, 2023",#TrudeauCornered,Cornered Trudeau resorts to diplomatic self-goal
"19th September, 2023",#ModiForNariShakti,"Women's Reservation Bill tabled, fight for credit begins"
"19th September, 2023",#PseudosStumped,Are Modi-baiters stumped by Women's Reservation Bill?
"19th September, 2023",#TrudeauBacksTerror,"Justin Trudeau goes in full Khalistan embrace, India gives it back"
"18th September, 2023",#HistoricSession,New Parliament all set to welcome MPs
"18th September, 2023",#WomensBillNow,Cabinet approves Women's Reservation Bill
"15th September, 2023",#AvengeOurMartyrs,Pro Pak line to demoralise forces?
"15th September, 2023",#NaiduInCustody,Nara Lokesh speaks to Arnab
"14th September, 2023",#EmergencyMindsetBack,Journalists on I.N.D.I.A's target list
"14th September, 2023",#ProPakFarooq,"Forces battle terror, Farooq wants talks"
"14th September, 2023",#ProPakFarooq,"Forces battle terror, Farooq wants talks"
"13th September, 2023",#PollReadyBJP,Modi's policies puts India on global map
"13th September, 2023",#SanatanStorm,Is I.N.D.I.A bloc cornered over attack on Sanatan Dharma?
"12th September, 2023",#AntiSanatanAgenda,Anti-Hindu politics part of I.N.D.I.A bloc agenda?
"12th September, 2023",#UddhavMustApologise,Attempt to sully momentous occasion for Hindus?
"11th September, 2023",#G20ImpactOn2024,G20 impact on PM Modi's 2024 image
"11th September, 2023",#NaiduVsJagan,Naidu vs Jagan fight gets bigger post arrest
"9th September, 2023",#IndiaG20Glory,G20 Summit: India's moment of glory
"9th September, 2023",#AllEyesOnIndia,PM Modi sets global agenda this G20
"8th September, 2023",#IndiaForSanatan,Why no acton taken against Sanatan haters?
"8th September, 2023",#HinduAndProud,Is antagonising Hindus 'secularism'?
"7th September, 2023",#HindusDemandApology,Is Hinduphobia I.N.D.I.A bloc's 2024 campaign?
"7th September, 2023",#HindusDemandApology,Eradicate Sanatan Dharma' to appease whom?
"7th September, 2023",#BharatThatIsIndia,Why oppose restoration of Bharat?
"5th September, 2023",#OnlyBharat,India to be officially called 'Bharat'?
"5th September, 2023",#CantAbuseSanatan,Why no action against Udhayanidhi Stalin?
"4th September, 2023",#ApologiseToHindus,Storm over 'eradicate Sanatan' comment
"4th September, 2023",#EditorsGuiltInTrouble,Is lutyens shielding fake news?
"1st September, 2023",#OneNationOnePoll,Will #OneNationOnePoll be a reality soon?
"1st September, 2023",#WhoWillFaceModi,3D I.N.D.I.A meet concludes - No leader. No consensus. No agenda
"31st August, 2023",#ParliamentSessionSuspense,Special Parliament Session triggers major speculation
"31st August, 2023",#WhoDeliversGrowth,Negativity brigade vs delivery on growth
"30th August, 2023",#WhoIsTheLeader,"Rahul, Nitish, Kejriwal, Akhilesh: Who all are in the race?"
"30th August, 2023",#PowerlessPak,Who is responsible for the economic mess in Pakistan?
"29th August, 2023",#LPGBonanza,Modi govt cuts LPG price by Rs 200
"29th August, 2023",#LobbySupportClub,Will I.N.D.I.A. bloc lose out or benefit with support of Teesta & Co?
"29th August, 2023",#NameShortSellers,What's the Hindenburg truth?
"28th August, 2023",#CongRahulPush,Cong's aggressive push for Rahul- Will I.N.D.I.A accept?
"28th August, 2023",#StopAntiHinduRant,Does I.N.D.I.A bloc endorse Hindu abuse?
"25th August, 2023",#CongChinaLink,Is Rahul Gandhi acting on Chinese script?
"25th August, 2023",#PoKvsPak,Is it the end game for Pakistani army?
"24th August, 2023",#LeadershipMatters,"In 2024, is it clarity of vision vs confused oppn?"
"24th August, 2023",#NarasimhaRaoInsulted,"Former PM Narasimha Rao insulted, does Cong endorse?"
"24th August, 2023",#RocketryBestFilm,R Madhavan speaks to Arnab
"23rd August, 2023",#IndiaOnTheMoon,History scripted. Glorious moment for India
"23rd August, 2023",#IndiaWins,Has political will unleashed a new India?
"22nd August, 2023",#IndiaOnTheMoon,Countdown to Chandrayaan-3 landing
"22nd August, 2023",#CongMocksRajinikanth,Why can't Rajinikanth bow before a Hindu priest?
"22nd August, 2023",#EndVVIPRacism,From Lalu to Nitish - VVIP racism has plagued Bihar
"21st August, 2023",#OfficialPredator,Can AAP govt & DCW sidestep responsibility?
"21st August, 2023",#CongAcharyaRebels,Is Hindu hate a criteria to rise in Congress?
"21st August, 2023",#HimantaVsPolygamy,Why oppose law against polygamy?
"19th August, 2023",#PaidToHateIndia,Is a circuit operating against India on an enemy payroll?
"19th August, 2023",#LawAndOrderHypocrisy,Dausa to Patna: Has law & order gone for a toss?
"19th August, 2023",#BJPEarlyStart,Can the BJP spring a surprise in MP & Chhattisgarh?
"17th August, 2023",#WeWillDragTahawwur,Pakistan panicked over Tahawwur's extradition
"17th August, 2023",#DelhiAssemblyWar,It's AAP vs BJP in the Delhi Assembly
"17th August, 2023",#HinduVoteRush,Is there a race for Hindu votes?
"16th August, 2023",#CongAAPConfusion,Divide in I.N.D.I.A bloc?
"16th August, 2023",#SunakSaysJaiSiyaRam,How is it communal to assert Hindu identity?
"15th August, 2023",#ModiAssurance,Big debate after PM Modiâ€™s 10th Independence day address
"15th August, 2023",#CongHinduRashtraRow,Is Congress divided over 'Hindu Rashtra'?
"14th August, 2023",#CongNowCurses,"Abusing voters, Cong's idea of democracy?"
"14th August, 2023",#YogiVsPakLovers,Yogi model against anti-nationals